NAME,Geography,year,month,tot_evic
40143000011,Precinct,2023,2,14
40143000011,Precinct,2023,3,6
40143000011,Precinct,2023,4,1
40143000012,Precinct,2019,1,2
40143000012,Precinct,2019,3,1
40143000012,Precinct,2019,4,2
40143000012,Precinct,2019,5,2
40143000012,Precinct,2019,6,2
40143000012,Precinct,2019,8,4
40143000012,Precinct,2020,2,2
40143000012,Precinct,2020,3,3
40143000012,Precinct,2020,5,2
40143000012,Precinct,2020,7,1
40143000012,Precinct,2020,8,1
40143000012,Precinct,2020,10,1
40143000012,Precinct,2021,1,1
40143000012,Precinct,2021,2,1
40143000012,Precinct,2021,3,2
40143000012,Precinct,2022,1,6
40143000012,Precinct,2022,4,1
40143000012,Precinct,2022,5,1
40143000012,Precinct,2022,6,3
40143000012,Precinct,2022,7,5
40143000012,Precinct,2022,8,4
40143000012,Precinct,2022,10,3
40143000012,Precinct,2022,11,4
40143000012,Precinct,2022,12,1
40143000012,Precinct,2023,1,3
40143000012,Precinct,2023,2,4
40143000012,Precinct,2023,3,3
40143000012,Precinct,2023,4,3
40143000013,Precinct,2018,1,4
40143000013,Precinct,2018,2,5
40143000013,Precinct,2018,4,3
40143000013,Precinct,2018,10,2
40143000013,Precinct,2018,11,1
40143000013,Precinct,2018,12,1
40143000013,Precinct,2019,1,7
40143000013,Precinct,2019,2,1
40143000013,Precinct,2019,3,2
40143000013,Precinct,2019,4,11
40143000013,Precinct,2019,5,9
40143000013,Precinct,2019,6,7
40143000013,Precinct,2019,8,9
40143000013,Precinct,2019,9,3
40143000013,Precinct,2019,11,7
40143000013,Precinct,2019,12,1
40143000013,Precinct,2020,1,5
40143000013,Precinct,2020,2,1
40143000013,Precinct,2020,3,1
40143000013,Precinct,2020,5,2
40143000013,Precinct,2020,6,4
40143000013,Precinct,2020,7,4
40143000013,Precinct,2020,8,1
40143000013,Precinct,2020,9,4
40143000013,Precinct,2020,10,1
40143000013,Precinct,2020,11,2
40143000013,Precinct,2021,1,2
40143000013,Precinct,2021,2,5
40143000013,Precinct,2021,3,3
40143000013,Precinct,2021,4,10
40143000013,Precinct,2021,5,3
40143000013,Precinct,2021,6,2
40143000013,Precinct,2022,1,5
40143000013,Precinct,2022,2,6
40143000013,Precinct,2022,3,8
40143000013,Precinct,2022,4,3
40143000013,Precinct,2022,5,4
40143000013,Precinct,2022,6,7
40143000013,Precinct,2022,7,6
40143000013,Precinct,2022,8,2
40143000013,Precinct,2022,9,6
40143000013,Precinct,2022,10,5
40143000013,Precinct,2022,11,2
40143000013,Precinct,2022,12,5
40143000013,Precinct,2023,1,6
40143000013,Precinct,2023,2,3
40143000013,Precinct,2023,3,7
40143000013,Precinct,2023,4,3
40143000014,Precinct,2019,2,1
40143000014,Precinct,2019,5,4
40143000014,Precinct,2019,6,2
40143000014,Precinct,2020,1,2
40143000014,Precinct,2020,2,1
40143000014,Precinct,2020,6,1
40143000014,Precinct,2020,10,3
40143000014,Precinct,2020,11,5
40143000014,Precinct,2020,12,3
40143000014,Precinct,2021,1,3
40143000014,Precinct,2021,3,2
40143000014,Precinct,2021,4,6
40143000014,Precinct,2022,1,3
40143000014,Precinct,2022,3,2
40143000014,Precinct,2022,4,4
40143000014,Precinct,2022,5,3
40143000014,Precinct,2022,6,5
40143000014,Precinct,2022,7,3
40143000014,Precinct,2022,8,10
40143000014,Precinct,2022,9,4
40143000014,Precinct,2022,11,5
40143000014,Precinct,2022,12,8
40143000014,Precinct,2023,1,8
40143000014,Precinct,2023,2,3
40143000014,Precinct,2023,3,5
40143000014,Precinct,2023,4,1
40143000015,Precinct,2019,1,2
40143000015,Precinct,2019,2,2
40143000015,Precinct,2019,3,5
40143000015,Precinct,2019,4,1
40143000015,Precinct,2019,7,8
40143000015,Precinct,2019,8,1
40143000015,Precinct,2019,10,1
40143000015,Precinct,2020,1,11
40143000015,Precinct,2020,2,3
40143000015,Precinct,2020,3,3
40143000015,Precinct,2020,5,4
40143000015,Precinct,2020,6,5
40143000015,Precinct,2020,7,5
40143000015,Precinct,2020,8,6
40143000015,Precinct,2020,9,1
40143000015,Precinct,2020,10,1
40143000015,Precinct,2020,11,4
40143000015,Precinct,2020,12,1
40143000015,Precinct,2021,1,4
40143000015,Precinct,2021,2,1
